"label","prediction"
5.1363,5.16901936903792
5.2488,5.22285024833602
5.3309,5.22285024833602
5.2056,5.20949827112065
5.1891,5.15901643386167
5.173,5.15901643386167
5.1538,5.12777848887013
5.1237,5.07992853780553
5.1306,5.07992853780553
5.1373,5.07992853780553
5.1309,5.06813839470982
5.1107,5.02397712463195
5.1062,5.06831073938026
5.1123,5.12327227547234
5.1106,5.22882486357793
5.0902,5.08449598722176
5.0953,5.08449598722176
5.1091,5.08449598722176
5.0956,5.08449598722176
5.1001,5.08449598722176
5.0846,5.08449598722176
5.0922,5.12201535884653
5.0909,5.11247200945813
5.0877,5.09396736850602
5.1108,5.09396736850602
5.1386,5.11286972792837
5.1611,5.201076740338
5.1684,5.17690366423616
5.1845,5.11921744097332
5.1968,5.14339051707515
5.1889,5.07319888876932
5.1993,5.23373889623251
5.1817,5.13581429586656
5.1754,5.16010668750947
5.1618,5.13353341200467
5.1538,5.18947535569086
5.1615,5.22861716615458
5.1688,5.21682765435802
5.1643,5.17021820614109
5.1513,5.22937851294047
5.1411,5.23045298410929
5.1269,5.17276676084645
5.1083,5.17276676084645
5.0902,5.18117882214172
5.0781,5.06386639330006
5.0569,5.08079783674764
5.0462,5.08079783674764
5.0477,5.11993964721135
5.0397,5.11993964721135
5.0421,5.11993964721135
5.0236,5.11070500311175
5.0202,5.17762523917503
5.0073,5.18302032178887
4.9776,5.13848342871132
4.9852,5.13848342871132
4.985,5.13848342871132
4.9883,5.17822686727367
4.9746,4.97089875393152
4.8804,4.93268684712918
4.9248,5.00397188557862
4.9372,5.0249259672681
4.9359,5.0249259672681
4.9224,4.99289321663523
4.9047,4.96475873830992
4.8925,4.93553779413177
4.9407,4.9609324341065
4.954,4.9748506866676
4.956,4.9748506866676
4.9722,4.97988529746158
4.9954,4.97988529746158
4.9927,4.97952798213752
4.9985,4.97158118832252
5.0244,4.95802025108548
5.1418,4.96632814801949
5.0616,4.97188610581638
5.059,4.97983289963137
5.0435,5.01195213824904
5.0302,5.03427677041298
5.0278,5.05015394426483
5.0235,5.00582032951652
5.0108,5.01973858207762
