"label","prediction"
4.9164,4.9391130843684
5.0277,4.9391130843684
5.0923,5.01560750310722
4.9951,5.00392409720722
4.9765,4.97495197716739
4.9674,4.97495197716739
4.9905,4.99152392176402
4.9671,4.97127876705546
4.9606,4.96793640562802
4.9644,5.01200890020492
4.9592,4.93453066383272
4.9347,4.9366963511072
4.9298,4.90027722619321
4.9387,4.9559905236674
4.9268,5.00559787566501
4.9323,4.99074480636319
4.9456,5.02006585538621
4.9413,4.92386640488542
4.925,4.95835467858866
4.9225,4.88920002984889
4.9072,4.92063522690408
4.8677,4.91165763122514
4.8638,4.91028643799637
4.8755,4.91582337361233
4.8769,4.88048075384006
4.8821,4.92342229455958
4.8786,4.87366385776699
4.8724,4.90967004528395
4.8869,4.92997422073773
4.8543,4.91961441739518
4.8632,4.85748510771247
4.8639,4.84517658067999
4.8795,4.89302411693627
4.9055,4.85766985927058
4.932,4.86636482039493
4.9299,4.89978947376704
4.928,4.91581485301179
4.9195,4.89664017667871
4.9167,4.89269513862752
4.9076,4.89269513862752
4.9005,4.86943410696597
4.8972,4.86491735740033
4.8868,4.85431191137872
4.8748,4.86479661425606
4.8572,4.84596317758373
4.8445,4.83875807463716
4.8374,4.87712820925586
4.8186,4.80328993187153
4.8066,4.80328993187153
4.7958,4.82440522693305
4.783,4.82750630989148
4.7938,4.83614017207536
4.7909,4.82667752562407
4.7972,4.80414053718911
4.8056,4.83734407058616
4.7985,4.82660167149729
4.7885,4.79146416959661
4.7736,4.79146416959661
4.7859,4.8069217858979
4.7872,4.81170080370463
4.7368,4.79146416959661
4.723,4.71885161177325
4.6856,4.71885161177325
4.6841,4.71702945017431
4.6707,4.71344019915065
4.6531,4.68684719703792
4.6264,4.6910962750548
4.5676,4.67155043304931
4.5805,4.67979193196918
4.6066,4.68893432853178
4.5996,4.58244386295136
4.5887,4.64257727391186
4.6346,4.6757039140845
4.6869,4.6757039140845
4.7531,4.69091651116531
4.7846,4.71074644246206
4.701,4.70100656476386
4.6752,4.7054031946438
4.6201,4.70352658432919
4.6398,4.62945783509116
4.6467,4.64438114739257
4.683,4.73773845806361
4.7086,4.66367012446463
4.7412,4.66367012446463
4.7356,4.76154335342321
4.7157,4.7682099959794
4.7137,4.77625115687676
4.7399,4.78472250419175
4.7388,4.77309292354884
4.7657,4.76505176265148
4.7586,4.76316413790202
4.7667,4.76316413790202
4.7672,4.76690322680351
4.7704,4.74416506906793
4.7801,4.75520610481483
4.7807,4.74656018909848
4.7799,4.75111912602778
4.7585,4.75111912602778
4.7498,4.72594927202517
4.7569,4.71996573224907
4.7503,4.71857313360918
4.7494,4.72704448092417
4.7526,4.75038884821543
4.7499,4.74649618068465
4.7543,4.7232131201534
4.7585,4.7232131201534
4.7525,4.74649618068465
4.7759,4.70595973533289
4.7797,4.73373751656009
4.7963,4.77552690583064
4.8043,4.75916028692514
4.8102,4.79540941546733
4.8137,4.78218939199632
4.8125,4.76817030245004
4.7998,4.75762886484226
4.7933,4.75190987932203
4.7427,4.74875164599411
4.7507,4.74133394367303
4.7452,4.67588243105684
4.735,4.70919403060712
4.7243,4.67969508807033
4.7291,4.66491205394859
4.7071,4.66328752871832
4.712,4.69752226260054
4.7022,4.68087155440378
4.6308,4.69259236781835
4.6326,4.66041026738878
4.6694,4.63793229969903
4.6678,4.62450861309311
4.6442,4.61940373427051
4.6165,4.62256196759843
